,Specificity,Precision,Negative predictive value,False positive rate,False discovery rate,Accuracy,Support
ACV,0.999585835576724,0.6,0.9962848297213622,0.0004141644232760406,0.4,0.9958762886597938,21
CEP,0.9989643744821872,0.0,0.9954592363261094,0.001035625517812759,1.0,0.9944329896907217,22
DCEP,0.9956002514142049,0.7469879518072289,0.9968533668974198,0.0043997485857950975,0.25301204819277107,0.9925773195876288,77
DCEP-FU,0.9997933884297521,0.0,0.9979377191173437,0.00020661157024793388,1.0,0.9977319587628866,10
DCEPS,1.0,,0.9987628865979381,0.0,,0.9987628865979381,6
DSCT,0.9968612680477087,0.6739130434782609,0.9916736053288926,0.003138731952291274,0.32608695652173914,0.988659793814433,71
E,1.0,,0.9983505154639175,0.0,,0.9983505154639175,8
EA,0.9784238019532138,0.8107569721115537,0.9908003679852806,0.02157619804678628,0.1892430278884462,0.9721649484536082,447
EB,0.9919644745189258,0.4794520547945205,0.9819970692903496,0.008035525481074222,0.5205479452054794,0.9744329896907217,121
EC,0.9913245873889124,0.6203703703703703,0.9879797553774778,0.008675412611087601,0.37962962962962965,0.9797938144329897,124
ED,0.9977064220183486,0.21428571428571427,0.989454094292804,0.0022935779816513763,0.7857142857142857,0.9872164948453608,54
EW,0.9334752527940394,0.7974068071312804,0.9701327433628318,0.06652474720596062,0.2025931928687196,0.9261855670103093,1092
HADS,0.9993774642041917,0.8235294117647058,0.9964825160355887,0.0006225357958082589,0.17647058823529413,0.9958762886597938,31
L,0.9791937581274383,0.26717557251908397,0.9574062301335029,0.02080624187256177,0.732824427480916,0.9387628865979382,236
ROT,0.941871921182266,0.694300518134715,0.9377145659637077,0.05812807881773399,0.30569948186528495,0.8989690721649485,790
RR,1.0,,0.9987628865979381,0.0,,0.9987628865979381,6
RRAB,0.9850238257317904,0.8598726114649682,0.9913222196848596,0.014976174268209666,0.14012738853503184,0.9785567010309278,443
RRAB_BL,0.9991657977059437,0.42857142857142855,0.9892628536031386,0.0008342022940563086,0.5714285714285714,0.9884536082474227,55
RRC,0.9931138368840112,0.7922077922077922,0.9827512776831345,0.00688616311598881,0.2077922077922078,0.976701030927835,203
RRD,0.9997928319867413,0.8571428571428571,0.9964897790625645,0.00020716801325875285,0.14285714285714285,0.9962886597938144,23
RS,0.9997930463576159,0.5,0.996493399339934,0.00020695364238410596,0.5,0.9962886597938144,18
SR,0.9061689994815967,0.7027914614121511,0.9625550660792952,0.09383100051840332,0.29720853858784896,0.897319587628866,992
